name,price,rating,review
"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Royal Bengal Orange)","₹1,46,355",3.6,22 Ratings & 5 Reviews
"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)","₹74,499",4,4 Ratings & 0 Reviews
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Grey)","₹93,999",3.7,3 Ratings & 0 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹1,24,990",3.7,3 Ratings & 0 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, White)","₹1,24,990",3.7,3 Ratings & 0 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹1,24,990",4,96 Ratings & 31 Reviews
"Bounce Infinity E1 Booking for Ex-Showroom Price (With Charger, Sporty Red)","₹80,490",3.6,22 Ratings & 5 Reviews
"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹74,499",3.7,3 Ratings & 0 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Cyan)","₹1,24,990",3.7,3 Ratings & 0 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)","₹1,24,990",4,4 Ratings & 0 Reviews
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Black)","₹93,999",4,4 Ratings & 0 Reviews
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Cyan)","₹93,999",4,4 Ratings & 0 Reviews
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Green)","₹93,999",3.6,22 Ratings & 5 Reviews
"BGauss BG A2 Booking for Ex-Showroom Price (Without Charger, Caspian Blue)","₹71,199",4,4 Ratings & 0 Reviews
"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)","₹74,499",4,4 Ratings & 0 Reviews
"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Anthracite Quartz)","₹1,45,651",3.5,6 Ratings & 4 Reviews
"BGauss BG B8 Booking for Ex-Showroom Price (Without Charger, Zed Black)","₹50,000",3.6,22 Ratings & 5 Reviews
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)","₹1,24,990",3.7,3 Ratings & 0 Reviews
"Bounce Infinity E1 Booking for Ex-Showroom Price (With Charger, Sporty Red)","₹80,490",4,96 Ratings & 31 Reviews
